Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  ms/call  ms/call  name    
                0.00    0.01   32768/65536       test_resolve [2]
                0.00    0.01   32768/65536       add_builtin_result [8]
[16]     9.9    0.00    0.02   65536         add_builtin_boolean [16]
                0.00    0.02   65536/262179      add_builtin_var [6]
-----------------------------------------------
                0.00    0.02   32768/32768       add_builtin_result [8]
[17]     9.9    0.00    0.02   32768         add_builtin_string [17]
                0.01    0.01   32768/623404      str_intern_range <cycle 3> [29]
                0.00    0.01   32768/262179      add_builtin_var [6]
                0.00    0.00   32768/884917      str_intern [103]
-----------------------------------------------
                0.02    0.00  327760/327760      resolve_binary_op [20]
[18]     9.7    0.02    0.00  327760         eval_binary_op [18]
                0.00    0.00  294992/688208      is_floating_type [32]
                0.00    0.00  983280/4391395     operand_const [98]
                0.00    0.00  327760/655440      is_integer_type [105]
                0.00    0.00  294992/294992      eval_binary_op_d [110]
                0.00    0.00   32768/32768       eval_binary_op_i [120]
-----------------------------------------------
                              327760             resolve_expr_binary_op <cycle 3> [30]
[19]     9.7    0.00    0.02  327760         resolve_binary_arithmetic_op <cycle 3> [19]
                0.00    0.02  327760/327760      resolve_binary_op [20]
                              327760             unify_operands <cycle 3> [109]
                              131072             cast_operand <cycle 3> [47]
-----------------------------------------------
                0.00    0.02  327760/327760      resolve_binary_arithmetic_op <cycle 3> [19]
[20]     9.7    0.00    0.02  327760         resolve_binary_op [20]
                0.02    0.00  327760/327760      eval_binary_op [18]
                0.00    0.00  327760/4391395     operand_const [98]
-----------------------------------------------
                             1212483             resolve_stmt <cycle 3> [27]
[21]     9.6    0.01    0.01 1212483         resolve_stmt_assign <cycle 3> [21]
                0.00    0.01 1081388/3604725     sym_get [13]
                0.00    0.00  131072/688208      is_floating_type [32]
                             1212483             resolve_expr <cycle 3> [25]
                             1212483             resolve_expected_expr <cycle 3> [7]
                             1212483             convert_operand <cycle 3> [102]
-----------------------------------------------
                0.02    0.00 1114282/1114282     sym_get [13]
[22]     8.0    0.02    0.00 1114282         sym_get_builtin [22]
-----------------------------------------------
                              688136             resolve_stmt <cycle 3> [27]
[23]     7.1    0.00    0.02  688136         resolve_stmt_dim <cycle 3> [23]
                0.01    0.01  688136/688136      resolve_typespec [24]
                              622600             sym_push_dim <cycle 3> [94]
                               65536             sym_push_project <cycle 3> [97]
-----------------------------------------------
                0.01    0.01  688136/688136      resolve_stmt_dim <cycle 3> [23]
[24]     7.1    0.01    0.01  688136         resolve_typespec [24]
                0.00    0.01  688136/688136      resolve_typespec_name [40]
-----------------------------------------------
                                   2             sym_push_project <cycle 3> [97]
                                   6             resolve_stmt_select_case <cycle 3> [178]
                                  19             resolve_select_case_pattern <cycle 3> [96]
                                  20             resolve_expr_call <cycle 3> [95]
                              262144             resolve_expr_unary <cycle 3> [45]
                              262144             resolve_cond_expr <cycle 3> [114]
                             1212483             resolve_stmt_assign <cycle 3> [21]
                             2031760             resolve_expr_binary <cycle 3> [43]
[25]     4.0    0.01    0.00 3768578         resolve_expr <cycle 3> [25]
                             3768578             resolve_expected_expr <cycle 3> [7]
-----------------------------------------------
                0.01    0.00 3604725/3604725     sym_get [13]
[26]     4.0    0.01    0.00 3604725         sym_get_local [26]
-----------------------------------------------
                              360477             resolve_stmt_block <cycle 3> [36]
                             1671220             resolve_stmts <cycle 3> [115]
[27]     4.0    0.01    0.00 2031697         resolve_stmt <cycle 3> [27]
                             1212483             resolve_stmt_assign <cycle 3> [21]
                              688136             resolve_stmt_dim <cycle 3> [23]
                              131072             resolve_stmt_if <cycle 3> [118]
                                   6             resolve_stmt_select_case <cycle 3> [178]
-----------------------------------------------
                0.01    0.00 1835152/1835152     resolve_name_operand [12]
[28]     4.0    0.01    0.00 1835152         operand_lvalue [28]
-----------------------------------------------
                                   2             new_sym_project <cycle 3> [183]
                                  10             sym_push_dim <cycle 3> [94]
                                  63             new_sym <cycle 3> [147]
                               32768             cast_operand <cycle 3> [47]
                              163840             concat_operands <cycle 3> [38]
                              393229             resolve_expr_string <cycle 3> [35]
                0.00    0.00       2/623404      test_keywords [93]
                0.00    0.00       3/623404      test_lex [76]
                0.00    0.00       9/623404      interpret [4]
                0.00    0.00      18/623404      new_sym_func [81]
                0.00    0.00      26/623404      init_keywords [75]
                0.01    0.01   32768/623404      add_builtin_string [17]
                0.03    0.04  164479/623404      next_token [9]
                0.04    0.06  262179/623404      add_builtin_var [6]
[29]     4.0    0.01    0.00 1049396         str_intern_range <cycle 3> [29]
                0.00    0.00       1/1           arena_grow [184]
                                  77             resolve_stmts <cycle 3> [115]
-----------------------------------------------
                                  19             resolve_select_case_pattern <cycle 3> [96]
                             1015880             resolve_expr_binary <cycle 3> [43]
[30]     4.0    0.01    0.00 1015899         resolve_expr_binary_op <cycle 3> [30]
                0.00    0.00 1736875/1802411     is_string_type [101]
                0.00    0.00 1441952/3408198     is_arithmetic_type [99]
                0.00    0.00  393216/4391395     operand_const [98]
                              819208             cast_operand <cycle 3> [47]
                              327760             resolve_binary_arithmetic_op <cycle 3> [19]
                              294923             resolve_binary_string_op <cycle 3> [111]
-----------------------------------------------
                0.00    0.00      36/688241      sym_push_type [72]
                0.01    0.00  688205/688241      sym_get [13]
[31]     4.0    0.01    0.00  688241         sym_get_type [31]
-----------------------------------------------
                0.00    0.00  131072/688208      resolve_stmt_assign <cycle 3> [21]
                0.00    0.00  262144/688208      eval_unary_op [44]
                0.00    0.00  294992/688208      eval_binary_op [18]
[32]     4.0    0.01    0.00  688208         is_floating_type [32]
-----------------------------------------------
                0.01    0.00  557056/557056      resolve_expected_expr <cycle 3> [7]
[33]     4.0    0.01    0.00  557056         resolve_expr_boolean [33]
                0.00    0.00  557056/4391395     operand_const [98]
-----------------------------------------------
                0.01    0.00  524333/524333      resolve_expected_expr <cycle 3> [7]
[34]     4.0    0.01    0.00  524333         resolve_expr_float [34]
                0.00    0.00  524333/4391395     operand_const [98]
-----------------------------------------------
                              393229             resolve_expected_expr <cycle 3> [7]
[35]     4.0    0.01    0.00  393229         resolve_expr_string <cycle 3> [35]
                0.00    0.00  393229/884917      str_intern [103]
                0.00    0.00  393229/4391395     operand_const [98]
